,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
0,kitten,cat,puppy,dog,kitten,,,
1,flock,goose,wolf,pack,wolf,wolves,flock,
2,blizzard,snowflake,monsoon,tornado,raindrop,rain,water,mon
3,jacket,zipper,overcoat,rain,button,buttons,belt,warm
4,baker,cake,chef,food,meal,entree,dish,steak
5,lamb,chop,lamb,pork,chop,pig,pork,beef
6,watermelon,rind,orange,peel,skin,apple,pulp,juicy
7,blindness,sight,deafness,sound,hearing,ears,,
8,ash,fireplace,soot,water,chimney,furnace,damp,candle
9,foresight,future,hindsight,plan,past,present,,
10,furnace,coal,wood,stove,furnace,wood,oven,paraffin
11,pen,pig,coop,chicken,hen,pencil,chickens,
12,father,son,mother,daughter,father,,,
13,basket,picnic,lunch,box,food,lunch,school,pale
14,sugar,coffee,honey,tea,milk,toast,taste,bees
15,orchard,apple,grove,apple,orange,tree,lemon,trees
16,revising,manuscript,editing,paper,book,text,essay,article
17,multiplication,product,addition,sum,subtraction,product,combination,division
18,painting,canvas,drawing,pencil,paper,board,book,pad
19,train,track,trolley,road,car,cable,wires,street
20,nose,scent,tongue,taste,scent,taste,buds,ring
21,answer,riddle,solution,problem,question,puzzle,thinking,plan
22,burger,bun,sub,water,bread,sandwich,roll,bun
23,foundation,house,base,ground,body,building,structure,statue
