,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
0,clown,carnival,acrobat,carnival,balance,circus,gym,
1,photographer,magazine,cartoonist,newspaper,magazine,comic,cartoon,comic
2,cartridge,printer,pickle,jar,brine,seed,sandwich,burger
3,shark,tank,cereal,box,bowl,cupboard,milk,
4,lemonade,lemon,wine,grape,grapes,alcohol,soda,beer
5,shampoo,bathroom,computer,office,desk,bedroom,den,data
6,tongue,lick,teeth,bite,chew,,,
7,cookie,jar,cereal,box,bowl,milk,breakfast,
8,vanilla,flavor,pepper,vegetable,spice,seasoning,salt,grain
9,ball,throw,toy,play,,,,
10,blizzard,snowflake,monsoon,wave,water,breeze,rain,raindrop
11,curator,museum,sculptor,museum,art,statue,studio,gallery
12,pharmacist,pharmacy,custodian,office,building,bathroom,museum,school
13,fork,eat,cup,drink,,,,
14,umpire,league,steward,hotel,house,kitchen,airplane,plane
15,milk,carton,car,garage,automobile,gasoline,metal,shop
16,pepper,ingredient,sedan,automobile,fleet,vehicle,car,model
17,elf,santa,bodyguard,celebrity,president,client,boss,protect
18,reptile,creature,bull,animal,mammal,creature,bovine,rhino
19,sedan,vehicle,apple,food,fruit,lemon,computer,orchard
20,swimming,sport,golf,sport,hobby,game,leisure,athlete
21,oxygen,tank,money,bank,wallet,briefcase,account,clip
22,chicken,coop,goldfish,bowl,water,tank,aquarium,fish
23,flask,laboratory,merchandise,store,shop,goods,item,
24,cow,barn,chicken,coop,coup,henhouse,coupe,farm
25,nurse,hospital,sculptor,building,museum,statue,studio,gallery
26,broom,sweep,mop,mop,clean,wipe,mops,wash
27,cat,animal,canary,bird,animal,,,
28,spoon,mix,peeler,vegetable,peel,potato,orange,rind
29,mechanic,garage,advertiser,office,company,business,agency,billboard
30,brownie,chocolate,candy,bar,dessert,sweet,sugar,fruit
31,sweater,wool,sock,cloth,thread,shoe,cotton,outfit
32,dealer,casino,cashier,store,shop,bank,supermarket,business
33,breakfast,meal,fruit,food,dessert,banana,vegetable,snack
34,whiskey,barrel,wine,box,bottle,glass,jug,cooler
35,pottery,clay,wine,glass,grape,grapes,alcohol,drink
36,map,navigate,mop,clean,wipe,scrub,floor,sweep
37,christmas,holiday,calf,animal,mammal,cattle,cow,baby
38,vault,bank,sock,clothing,drawer,foot,shoe,dresser
