,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
0,movie,screen,lightning,sky,storm,bolt,camera,thunder
1,furnace,coal,stomach,food,acid,heat,ulcers,digestive
2,bracelet,wrist,moat,water,castle,arm,moat,fort
3,law,school,lawyer,vineyard,grape,grapes,gardener,wine
4,multiplication,product,brewing,tea,beer,boil,coffee,drink
5,revising,manuscript,evolving,life,species,growing,organism,change
6,baker,cake,scientist,experiment,science,theory,formula,lab
7,kitten,cat,spark,lightning,fire,light,flame,electricity
8,cleanser,face,absolution,person,soul,sin,guilt,sins
9,sugar,coffee,incentive,tea,goal,money,work,task
10,aspirin,pain,muffler,car,sound,warm,noise,exhaust
11,blindness,sight,poverty,wealth,money,rich,poor,brightness
12,pen,pig,reservoir,water,dog,lake,container,fish
13,orchard,apple,neighborhood,house,people,neighbor,homes,person
14,foundation,house,premise,theory,hypothesis,idea,story,structure
15,father,son,inventor,experiment,idea,person,invention,apprentice
16,burger,bun,book,story,cover,shelf,pages,page
17,answer,riddle,key,question,puzzle,item,lock,door
18,lamb,chop,lamb,chapter,story,book,part,chapter
19,train,track,signal,light,road,car,go,wire
