,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
1,movie,screen,lightning,sky,storm,bolt,camera,thunder
2,furnace,coal,stomach,food,acid,heat,ulcers,digestive
3,bracelet,wrist,moat,water,castle,arm,moat,fort
4,law,school,lawyer,vineyard,grape,grapes,gardener,wine
5,multiplication,product,brewing,tea,beer,boil,coffee,drink
6,revising,manuscript,evolving,life,species,growing,organism,change
7,baker,cake,scientist,experiment,science,theory,formula,lab
8,sugar,coffee,incentive,tea,goal,money,work,task
10,blindness,sight,poverty,wealth,money,rich,poor,brightness
11,pen,pig,reservoir,water,dog,lake,container,fish
12,orchard,apple,neighborhood,house,people,neighbor,homes,person
13,foundation,house,premise,theory,hypothesis,idea,story,structure
14,father,son,inventor,experiment,idea,person,invention,apprentice
16,answer,riddle,key,question,puzzle,item,lock,door
